canonical_tag,synonym1,synonym2,synonym3,synonym4,synonym5,synonym6,synonym7,synonym8,synonym9,synonym10,synonym11,synonym12,synonym13,synonym14,synonym15,synonym16,synonym17,synonym18,synonym19,synonym20,synonym21,synonym22,synonym23,synonym24,synonym25,synonym26,synonym27,synonym28,synonym29,synonym30,synonym31,synonym32,synonym33,synonym34,synonym35,synonym36,synonym37,synonym38,synonym39,synonym40,synonym41,synonym42,synonym43,synonym44,synonym45,synonym46,synonym47,synonym48,synonym49,synonym50,synonym51,synonym52,synonym53,synonym54,synonym55,synonym56,synonym57,synonym58,synonym59,synonym60,synonym61,synonym62,synonym63,synonym64,synonym65,synonym66,synonym67,synonym68,synonym69,synonym70,synonym71,synonym72,synonym73,synonym74,synonym75,synonym76,synonym77,synonym78,synonym79,synonym80,synonym81,synonym82,synonym83,synonym84,synonym85,synonym86,synonym87,synonym88,synonym89,synonym90,synonym91,synonym92,synonym93,synonym94,synonym95,synonym96,synonym97,synonym98,synonym99,synonym100,synonym101,synonym102,synonym103,synonym104,synonym105,synonym106,synonym107,synonym108,synonym109,synonym110,synonym111,synonym112,synonym113,synonym114,synonym115,synonym116,synonym117,synonym118,synonym119,synonym120,synonym121,synonym122,synonym123,synonym124,synonym125,synonym126,synonym127,synonym128,synonym129,synonym130,synonym131,synonym132,synonym133,synonym134,synonym135,synonym136,synonym137,synonym138,synonym139,synonym140,synonym141,synonym142,synonym143,synonym144,synonym145,synonym146,synonym147,synonym148,synonym149,synonym150,synonym151,synonym152,synonym153,synonym154,synonym155,synonym156,synonym157,synonym158,synonym159,synonym160,synonym161,synonym162,synonym163,synonym164,synonym165,synonym166,synonym167,synonym168,synonym169,synonym170,synonym171,synonym172,synonym173,synonym174,synonym175,synonym176,synonym177,synonym178,synonym179,synonym180,synonym181,synonym182,synonym183,synonym184,synonym185,synonym186,synonym187,synonym188,synonym189,synonym190,synonym191,synonym192,synonym193,synonym194,synonym195,synonym196,synonym197,synonym198,synonym199,synonym200,synonym201,synonym202,synonym203,synonym204,synonym205,synonym206,synonym207,synonym208,synonym209,synonym210,synonym211,synonym212,synonym213,synonym214,synonym215,synonym216,synonym217,synonym218,synonym219,synonym220,synonym221,synonym222,synonym223,synonym224,synonym225,synonym226,synonym227,synonym228,synonym229,synonym230,synonym231,synonym232,synonym233,synonym234,synonym235,synonym236,synonym237,synonym238,synonym239,synonym240,synonym241,synonym242,synonym243,synonym244,synonym245,synonym246,synonym247,synonym248,synonym249,synonym250,synonym251,synonym252,synonym253,synonym254,synonym255,synonym256,synonym257,synonym258,synonym259,synonym260,synonym261,synonym262,synonym263,synonym264,synonym265,synonym266,synonym267,synonym268,synonym269,synonym270,synonym271,synonym272,synonym273,synonym274,synonym275,synonym276,synonym277,synonym278,synonym279,synonym280,synonym281,synonym282,synonym283,synonym284,synonym285,synonym286,synonym287,synonym288,synonym289,synonym290,synonym291,synonym292,synonym293,synonym294,synonym295,synonym296,synonym297,synonym298,synonym299,synonym300,synonym301
Marietta Edgecombe,Marietta Edgecomb,"Marietta Edgecombe ""Mirage""",Marietta Edgecombe (mentioned),Marietta Edgecome,Mariette Edgecombe,Omega Marietta Edgecomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlene McKinnon,Magda Lorelei McKinnon,Marlene Bones-McKinnon,Marlene Mackinnon,Marlene Mc Kinnon,Marlene McKinnion,Marlene McKinnon (mention),Marlene McKinnon (mentioned sort of),Marlene McKinnon (mentioned),Marlene McKinnon - mentioned,Marlene McKinnon as a dog?,Marlene McKinnon mentioned,Marlene Price,Marlene too,Mention of Marlene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Lou Barebone,and mary lou,Credence's Mother,Mary Lou Barebone ( mentioned ),Mary Lou Barebone (flashbacks),Mary Lou Barebone (mention),Mary Lou Barebone (mentioned),Mary Lou Barebone (Mentions),Mary Lou Barebone (mild),Mary-Lou Barebone,Marylou Barebone (mention),mentioned Mary Lou,mentioned Mary Lou Barebone,mentions of mary lou,Mother Barebone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Macdonald,brief mentions of Mary Macdonald,mary mac donald,Mary Macdonald (mentioned),Mary McDonald,Mentioned Mary Macdonald - Character,Minor Mary McDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merlin (Harry Potter),Merlin Portrait (Harry Potter),merlin(harry potter),Portrait Merlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merope Gaunt,Ghost Merope Gaunt,Merope Gaunt (mentioned),Merope Gaunt Peverell,Merope Gaunt Riddle,Merope Gaunt's portrait,Merope Guant,Merope Riddle - Character,Portrait Merope Gaunt,梅洛普·冈特·里德尔/科尔太太,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Corner,Beta Michael Corner,Micheal Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millicent Bulstrode,Beta Millicent Bulstrode,Mentioned Millicent Bulstrode,Milicenta Bulstrode,mill/millicent bulstrode,Millencent Bullstrode,Millicent Bullstrode,Millicent Bulstrode (mentioned),Millicent Bulstrold,Millicent Bulstrude,Millicent Bustrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minerva McGonagall,also mcg,Beta Minerva McGonagall,Cat Minerva McGonagall - Character,Cat!Minerva,cat!Minerva McGonagall,Headmistress McGonagall - Character,Headmistress Minerva McGonagall - Character,Mac Gon-a-Gal,MacGonagall,Maud (Minerva McGonagall),McGonagal,McGonagall,Mcgonagall (mentioned),McGonagall is mentioned,Mcgonall,McGonegall,mcgongall,McGonnagal,McGonnagall,Mentioned Minerva McGonagall - Character,mentions of minerva being the beautiful woman she is,Mentions of Minerva McGonagall - Character,Minerva MacGonagall,minerva magonagle,Minerva Mc,Minerva Mc Gonagall,Minerva McGinagall,Minerva McGonagal,Minerva McGonagall (as a horse),Minerva McGonagall (brief),Minerva McGonagall (cameo),Minerva McGonagall (cat),Minerva McGonagall (Harry Potter),Minerva McGonagall (just mentioned),Minerva McGonagall (mention only),Minerva McGonagall (mention),Minerva McGonagall (Mentioned),Minerva Mcgonagall - Mentioned,Minerva McGonagle,Minerva McGonagll,Minerva McGonagoll,Minerva McGonegall,Minerva McGongagall,Minerva McGongall,Minerva McGonigall,Minerva McGonnagal,Minerva McGonnagal (mentioned),Minerva McGonnagall,Minerva McGonnigal,Minerva Mcgonnogall,Minerva McGranitt,minerva mention - Character,Minerve McGonagall,Minervra McGonagal,Minerwa McGonagall,Minevira McGonagall,Minevra McGonagall,Minnie The Cat who is certainly not McGonagall,Minor Minerva McGonagoll,Minvera McGonagall,MJinerva McGonagall,Plus McGoneggal,Portrait Minerva McGonagall,Prof. McG,Prof. McGonagal,Prof. McGonagol,Professor MacGonagall,professor maganagol,Professor McGonagal,Professor McGonagal (Harry Potter),Professor McGonagall,Professor McGonagall (Mentioned),Professor McGonagill,Professor McGonnagal,Professor McGonnagle,Professor Mcgonnigal,Professor McGonogall,Professor Minerva McGonagall,Professor Mivera McGonogall,Proffesor Mcgonagal,Proffessor McGonagall,so does Minnie Mcgonagall,Минерва,Минерва Макгонагалл,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moaning Myrtle,and myrtle who is a lonely ghost haha oops,Moaning Murtle,Moaning Myrtle (Mentioned),Moaning Myrtle (Myrtle Warren),Moaning Myrtle | Myrtle Warren,Myrtle Elizabeth Warren,Myrtle la llorona,Myrtle Warren,Myrtle Warren (Harry Potter),Myrtle Warren (Moaning Myrtle),Myrtle Warren | Moaning Myrtle,Omega Myrtle Warren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molly Weasley,(mentioned) Molly Weasley,badass Molly Weasley - Character,brief Molly Weasley,Mentioned Molly Weasley,Mentions of Molly Weasley - Character,Minor Molly Weasley,Molly (Mrs) Weasley,Molly Bashing - Character,Molly Prewett,Molly Prewett (Weasley),Molly Prewett Weasley,Molly Wealsey,Molly Wealsey (Mentioned),Molly Wealsey nee Prewitt,Molly Weasely,Molly Weasley (Mentioned only),Molly Weasley (mentioned),Molly Weasley Bashing - Character,Molly Weasley I,molly weasley mentioned,Molly Weasley nee Prewett,Molly Weasley nee Prewitt,Molly Weasley off screen,Molly Weasley the first,Molly Weasley(mentioned),Molly Weasly,Mrs Weasley,Mrs. Molly Weasley,Mrs. Weasley,Mrs. Weasley (mentioned),Молли Уизли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molly Weasley II,Molly (II) Weasley,Molly II Weasley,Molly Weasely (II),Molly Weasely II,Molly Weasley 2nd,Molly Weasley II (mentioned),Molly Weasley jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs Zabini (Harry Potter),Arabella Zabini,Blaise Zabini Mother,Blaise Zabini's Mother,Blaise Zabini’s Mother,Blaise Zambini's Mother,Blaise Zanbini's Mother,Blaise's mum,Cordelia Zabini,Countess Zabini,Elladora Zabini,Esmene Zabini (Mrs Zabini),Madam Zabini,Mentioned Mrs Zabini,Mrs Zabini,Mrs. Zabini,Ms. Zabini,Noemi Zabini,Pandora Zabini,миссис Забини,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mulciber Jr. (Harry Potter),Ignatius Mulciber,Julian Mulciber,Marcus Mulciber,Mulciber (Harry Potter),Mulciber Jr,Mulciber Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mulciber Sr. (Harry Potter),Madrigal Mulciber,Mulciber Sr,Mulciber Sr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mundungus Fletcher,Munudungus Fletcher,Мандангус Флетчер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagini (Harry Potter),Beta Nagini,Horcrux - Nagini,human!Nagini - Character,Little Nagini,Mama Snake Nagini,Nagini,Nagini (Fantastic Beasts),Nagini (Harry Potter) (mentioned),Nagini (Harry Potter) Mentioned,Nagini (indirect),Nagini (mentioned),Nagini as human,Naginiiiii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narcissa Black Malfoy,(briefly) Narcissa Malfoy,and Cissy,and Narcissa/Cissa/Cissy,background Narcissa Malfoy,backround Narcissa Malfoy,ch 18 Narcissa,Cissa Malfoy,Draco's Mother,Human Narcissa,Lady Malfoy,Mention of Narcissa Black Malfoy,Mentioned Narcissa Malfoy,mentions of Narcissa Malfoy,Mentions of Narscissa Malfoy,Minor Narcissa Malfoy,Mrs Malfoy,Nacrissa Malfoy,Narcisa Malfoy,Narciss Malfoy,Narcissa,Narcissa Black,Narcissa Black (mentioned),Narcissa Black - Mentioned,Narcissa Black Lestrange,Narcissa Black Malfoy (implied),Narcissa Black Malfoy (mention),Narcissa Black Malfoy (mentioned),Narcissa Black Malfoy Black,Narcissa Black Malfoy Mentioned,Narcissa Black Malfoy Portrait,Narcissa Black Malfoy(Mentioned),Narcissa Black-Malfoy,Narcissa Lestrage Malfoy,Narcissa Lestrange Malfoy,Narcissa Malefoy,Narcissa Malfoy,Narcissa Malfoy (background),Narcissa Malfoy (Black),Narcissa Malfoy (implied),Narcissa Malfoy (mentioned indirectly),Narcissa Malfoy (mentioned only),Narcissa Malfoy (mentioned),Narcissa Malfoy (Past) - Character,Narcissa Malfoy (referenced),Narcissa Malfoy Black,Narcissa Malfoy in Traum,Narcissa Malfoy Mentioned - Character,Narcissa Malfoy nee Black,Narcissa Malfoy-Black,Narcissa Malfoy-mentioned in passing,Narcissa Malfoy-Nee Black,Narcissa's Portrait,Narcissaa Malfoy,Narcissi Black Malfoy,Narcissi Malfoy,Narcissia Malfoy,Narcyza Black Malfoy,Narcyza Malfoy,Naricissa Black Malfoy,Narissa Malfoy,Narzissa Black,Narzissa Malfoy,Omega Narcissa Malfoy - Character,Omega Narcissa “Cissy” Malfoy née Black,Portrait Narcissa Black Malfoy,Portrait Narcissa Malfoy,very brief mention of Narcissa Malfoy,Vietnamese Narcissa Black,Young Narcissa Black,Нарцисса,Нарцисса Малфой,Нарцисса Малфой (Блэк),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nearly Headless Nick,but he's called Sir Nicholas,Nearly Headless Nick (mentioned),Nearly Headless Nick | Nicholas de Mimsy-Porpington,Nearly-Headless Nick,Nicholas de Mimsy-Porpington,Nicolas de Mimsy-Porpington,Prawie Bezgłowy Nick,Sir Nicholas De Mimsey Porpington,Sir Nicholas de Mimsy-Porpington,Sir Nicholas De Mimsy-Porpington (Harry Potter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neville Longbottom,Agender Neville Longbottom,Althea Longbottom (Fem!Neville),Baby Neville Longbottom,background Neville Longbottom,BAMF Neville - Character,Błażej Długizadek (jako Neville Longbottom),flashback - Neville Longbottom,Hufflepuff Neville - Character,I imagined Neville,I love my Neville my sweet darling baby,mention of Neville Longbottom,mentioned Neville Longbottom,Mentioned only neville longbottom,mentions of Neville Longbottom,minor Neville Longbottom,Neil Cartwright/Neville Longbottom,Neve Longbottom,Neveille Longbottom,Nevil,nevil longbottom,Nevile,Nevile Longbottom,Neville Francis Asterion Langdon(neville longbottom),Neville LeStrange,Neville LeStrange (Longbottom),Neville Lonbottom,Neville Londubat,Neville Long,Neville Longbottem,"Neville Longbottom ""Forest""",Neville Longbottom (brevemente),Neville Longbottom (brief mentions),Neville Longbottom (brief),Neville Longbottom (briefly),Neville Longbottom (flashback),Neville Longbottom (Harry Potter),Neville Longbottom (HP),Neville Longbottom (kind of),Neville Longbottom (mention),Neville Longbottom (mentioned),Neville Longbottom (mentionned),Neville Longbottom (minor),Neville Longbottom (Neil Cartwright),Neville Longbottom - mentioned,Neville Longbottom as NEIL CARTWRIGHT,Neville Longbottom mentioned - Character,Neville Longbottom — Mentioned,Neville Longbottom(mentioned),Neville Longbottom-Lovegood,Neville Longbottom|Roumpini,Neville Longbotton,Neville Longbotton - but only off-stage,Neville Longbotttom,Neville Longbttom,Neville Longottom,Neville Malfoy,Neviller Longbottom,Nevillie Longbottom,Nilus Langballe,Omega Neville Longbottom - Character,Omega Neville “Nev” Frank Longbottom,Professor Longbottom - Character,Professor Neville Longbottom - Character,Trans Neville Longbottom,we forget to cry for Neville Longbottom,Young Neville Longbottom,Невилл Лонгботтом,Невилл Лонгботтом.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newt Scamander,Alpha Newt Scamander - Character,dad newt - Character,dark!Newt Scamander,Female Newt Scamander - Character,implied Newt Scamander,Maybe Newt Scamander too idk lol,Mentions of Newt Scamander,Newt Scaman,Newt Scamande,Newt Scamander (background),Newt Scamander (cameo),Newt Scamander (deceased),Newt Scamander (implied),Newt Scamander (in a few chapters),Newt Scamander (mentioned),Newt Scamander (mentions),Newt Scamander (mild),Newt Scamander (offscreen),Newt Scamander (recurrent),Newt Scammander,Newt Scarmander,newt schamander,Newton Artemis Fido Scamander,Newton Scamander,newtscamander,Nymphaea Scamander,Oblivious!Newt - Character,Painter/Artist!Newt,Past!Newt Scamander,Trans Male Newt Scamander,very minor Newt Scamander,well newt is just mentioned tbf,Yandere Newt - Character,Yandere Newt Scamander,Young newt scamander - Character,Ньют Скамандер,紐特,纽特,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newt Scamander's Magical Beasts,BASICALLY ALL THE BEASTS,fantastic beasts - Character,Magical Beast(s),magical beasts - Character,magical creatures (assorted),Newt Scamander's case,Newt Scamander's Creatures,Newt Scamander's Magical Beasts (background),Newt Scamander's Magical Beasts (mentioned),Newt Scamanders Beasts,Newt's Beasts,Newt's Creatures - Character,Newt's creatures!,Newt's magical creatures,Newt’s magical beasts mentioned,One extra fantastic beast,Original Magical Beasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newt Scamander's Mother,Helen (Mama) Scamander,Madam Scamander,Mama Scamander,mrs scamander,Mrs. Scamander,Newt Scamander's Mum,Newt's Mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
